12000 6
2 6261 4
2 4744 6
1 3051 2
2 1720 6
1 7570 1
2 7145 6
1 2456 5
2 1308 4
1 5913 2
2 888 1
1 3389 5
1 3956 1
2 3484 1
2 7875 6
2 6351 6
2 1174 2
2 4919 2
2 2398 5
2 3752 6
1 2488 2
1 8419 6
2 8601 6
1 6976 2
1 7670 3
1 4799 6
2 3713 4
1 5015 2
1 9264 5
1 923 1
1 606 1
2 5046 2
1 9727 3
1 3021 1
1 7196 4
1 4257 4
2 5595 3
1 8214 4
2 476 6
2 7113 2
1 7341 4
2 9700 2
1 2533 1
2 8862 1
2 4684 3
1 8401 6
1 3697 4
1 7728 6
1 1561 3
1 4058 1
2 7251 5
1 7246 3
1 4719 1
1 6658 1
2 5970 6
2 7261 6
2 9484 2
2 3536 1
2 1889 1
1 5370 1
1 4332 1
1 7274 6
1 7257 6
1 369 6
1 4679 2
2 4113 3
2 8537 5
1 8058 6
1 72 6
2 990 2
1 96 5
2 5664 4
1 642 6
2 4469 3
2 9984 6
2 8701 1
1 3528 2
2 949 6
1 4919 5
2 307 4
1 6401 2
1 5599 3
1 5560 1
1 9987 2
2 2475 6
1 7065 2
2 1636 6
1 4384 6
2 3655 5
2 8963 3
2 5838 6
2 1745 1
1 5905 4
2 4708 3
1 9009 3
1 7961 5
2 8449 6
2 263 5
1 2226 5
1 4209 5
2 5259 5
2 5559 2
1 9300 3
1 6641 6
2 5900 6
1 1112 5
2 8518 2
1 3702 4
2 7576 3
1 7413 1
2 2618 4
2 8521 3
1 7302 4
2 9661 5
1 1541 6
1 5441 3
2 6241 3
2 9893 2
2 371 3
1 3327 3
2 2984 4
2 1555 1
2 3766 2
1 2661 1
1 7724 4
2 4787 1
2 370 3
1 2006 6
2 2387 1
2 31 3
2 6529 1
2 7121 1
2 365 1
2 2704 2
1 5520 6
2 2692 6
2 7069 2
2 5696 6
1 9749 1
1 8683 3
2 8098 3
2 8160 6
2 6830 2
2 4240 4
2 4118 2
2 8386 4
2 8603 2
2 4379 4
1 4262 6
1 1081 1
2 2460 6
1 3640 6
1 7029 5
1 1760 4
1 8853 1
1 7981 6
2 8300 2
2 3052 3
1 7903 5
1 6213 1
1 8050 6
1 7548 5
1 6436 4
1 4811 6
2 9762 6
2 7086 2
2 3571 3
1 8943 1
2 6118 5
1 4312 3
1 939 6
1 1487 6
1 1014 4
1 5829 6
2 9075 3
2 699 2
2 138 3
2 6714 5
1 8702 3
2 4644 2
1 4201 5
2 9706 2
1 6440 2
1 6103 6
2 145 1
1 8059 4
1 1535 6
1 2754 4
1 6255 2
1 323 3
1 6596 2
1 9924 2
2 7013 3
2 2548 6
2 6255 4
2 8141 5
2 6539 3
1 3307 6
1 7009 6
1 7634 5
2 7522 6
2 6420 6
2 4980 6
2 546 4
1 3070 3
1 8292 5
2 9686 6
2 4323 2
1 9097 2
1 8467 4
2 4525 3
2 8583 5
2 3449 4
2 710 4
1 1436 6
2 9744 4
2 879 6
2 1324 1
1 4046 1
2 8271 1
2 782 2
1 8064 3
2 1876 3
2 324 6
2 2283 4
1 2075 5
2 1026 2
2 7112 2
2 9097 6
1 824 3
2 5688 1
1 6708 5
2 296 2
1 1308 5
1 7236 3
2 6894 1
1 6463 2
2 9943 6
1 5545 2
1 205 5
2 4865 3
1 3939 6
2 9178 2
1 5279 5
1 3151 5
1 1425 2
1 3396 3
2 9168 3
2 6681 5
2 4441 1
1 426 1
2 475 4
1 3800 2
2 7506 5
2 74 4
2 2028 6
1 4953 6
1 8661 5
1 7860 4
1 8548 5
1 4027 5
2 6199 5
1 9498 1
1 4743 2
2 1673 1
1 6775 1
1 4440 2
1 8450 3
2 6388 3
1 7064 3
1 3381 5
2 4353 1
2 8757 6
1 6088 4
1 6359 2
2 8475 3
1 8471 3
1 2121 2
1 3549 2
1 9479 1
2 4981 2
1 8435 5
2 6897 2
2 1522 2
1 7412 5
1 2695 3
1 4861 3
2 7352 2
2 3833 2
1 9840 6
1 2266 2
1 1577 1
2 3683 4
1 3227 5
1 9287 3
2 1972 2
1 7332 5
2 9597 5
1 7937 2
2 5162 3
2 4451 3
1 4479 6
1 6885 3
1 3441 4
1 2339 5
2 5072 4
1 3475 6
1 1736 5
2 411 2
2 3846 3
2 7234 5
1 5949 3
2 9526 1
2 1325 1
1 7340 1
1 7957 4
1 7467 1
1 4852 1
2 1055 2
2 1977 4
2 2257 6
2 4119 4
2 3040 3
2 1710 2
2 7341 2
2 6460 6
2 6582 3
1 3800 3
2 9627 4
1 3948 3
2 4298 1
2 3533 2
1 9254 1
1 9614 3
2 7656 4
2 4654 2
1 5658 2
1 7197 4
1 6560 3
2 4831 2
2 238 3
1 6534 4
1 2225 3
2 9064 2
1 354 3
1 613 3
1 3785 2
1 8150 2
1 9904 4
1 1543 3
1 8469 4
1 8297 6
2 6784 1
2 7244 4
1 8549 3
2 7719 3
1 4334 3
2 4488 3
1 9291 4
1 3264 6
2 6176 1
1 4148 2
2 7262 1
1 2009 5
2 7779 5
2 6437 3
1 5466 1
2 1120 3
2 4288 3
1 3215 5
1 8349 5
1 8575 2
2 8265 3
2 4376 3
1 5367 2
2 516 3
2 684 6
1 8604 4
1 1715 6
2 3443 5
1 7250 3
2 128 6
2 2268 1
1 3230 3
1 8007 4
2 1902 2
1 636 4
1 1575 6
2 5534 6
1 3324 1
2 806 1
1 4426 2
2 6648 6
1 5694 3
1 5096 1
2 9082 5
2 5537 2
2 4938 2
1 8286 4
1 9919 4
1 8140 3
1 972 5
1 9466 1
1 470 5
1 3581 4
2 3286 4
1 9395 6
2 6259 4
2 7055 3
2 9624 3
2 1497 3
1 5599 2
1 3517 5
2 3516 1
1 1110 3
1 4594 3
2 179 5
1 3586 2
1 3262 5
1 3007 4
1 7100 5
2 2209 6
1 322 5
1 9287 2
2 3352 1
1 5308 4
1 4432 5
1 5161 4
1 5066 3
1 1128 6
1 8473 5
1 5507 4
2 3365 2
1 3472 2
2 1831 6
1 2322 3
1 4196 1
1 4893 1
1 7688 2
2 2896 1
1 7729 4
2 4850 6
2 4780 4
1 8290 2
1 1787 4
2 1771 3
2 2062 2
2 9116 6
1 8739 5
2 6434 5
1 7317 1
1 4316 5
1 8158 1
1 4816 4
2 8073 4
1 1472 2
2 6284 5
2 988 3
1 463 4
2 5732 2
1 9171 4
1 7691 6
2 5907 5
2 2781 6
2 8102 6
2 1773 4
1 5268 4
2 7337 2
1 9080 4
1 5947 3
1 4605 5
2 4228 1
1 5408 4
1 1430 5
1 1070 6
1 1630 4
2 8757 2
1 1793 3
1 1709 5
2 7042 4
1 2906 4
2 5634 6
1 1414 4
2 1651 3
1 4556 3
1 989 4
2 2010 5
2 6188 3
2 2146 6
1 5066 5
2 2506 6
2 2333 6
2 5190 5
1 3367 1
1 9345 4
1 1142 1
1 2975 4
1 254 4
2 5129 4
2 2227 2
2 2578 4
1 9879 4
1 6772 2
2 6760 1
2 9853 1
1 6611 2
2 7401 4
2 5428 2
1 6541 6
2 6974 1
2 5538 5
1 742 2
1 2895 4
1 5549 2
1 6264 5
2 6863 2
1 1859 6
2 13 1
1 4918 6
2 4599 4
1 9127 5
1 62 6
2 9815 2
1 5490 4
2 2080 4
2 8850 6
1 2410 4
2 5265 6
1 9334 1
1 1238 3
1 4678 1
1 4504 1
2 7680 1
2 666 4
2 3019 5
1 5879 6
2 4504 3
2 2255 1
2 9456 1
1 4648 4
1 2667 5
2 4491 1
1 5251 4
1 8259 1
1 6600 2
1 3907 2
2 6081 1
1 1606 4
2 6317 3
2 4902 3
1 5974 6
1 7426 6
2 9171 1
2 5930 4
1 5752 5
1 3200 1
2 8975 3
1 329 1
1 548 2
2 341 4
1 715 4
2 724 1
1 2129 1
2 4074 6
2 4146 1
1 1002 3
1 8123 5
1 6323 2
2 9178 3
1 5746 6
1 1694 2
2 555 1
1 9492 3
2 2369 5
1 2016 4
2 4651 3
1 7066 2
1 4010 6
1 1836 5
2 7494 4
1 711 6
1 1250 2
2 6926 1
2 9048 2
2 308 3
2 3402 1
2 4846 4
2 1555 2
2 4398 6
1 4854 4
1 562 2
2 3609 2
1 7038 2
2 9077 4
2 155 4
2 5686 3
1 7226 3
2 3421 6
1 6992 2
2 8306 1
2 9504 2
2 5544 6
1 2597 5
2 6044 1
1 7208 4
1 4924 2
2 6714 3
1 1950 5
2 335 2
1 6988 2
2 5405 5
1 6433 5
2 7312 3
2 2424 3
2 8323 5
2 3667 4
2 4145 1
1 7798 5
1 965 5
1 7400 1
1 2185 4
1 8770 6
2 8050 5
2 1137 6
2 6334 3
1 3501 4
1 1801 3
2 5161 2
2 4762 4
2 1792 1
1 672 5
2 5743 1
1 7346 5
2 488 2
2 8591 3
2 7299 1
2 658 4
2 2944 6
1 9734 1
2 7404 5
1 4421 5
1 8337 6
2 2704 3
1 2645 5
2 6103 6
2 9377 2
2 6492 1
2 607 3
1 2552 4
2 1272 4
2 5338 2
1 8034 1
2 9108 6
2 9585 1
1 6661 6
1 9123 5
2 2522 1
1 3345 3
2 9121 3
2 828 3
1 3232 2
1 224 5
1 7599 3
1 5413 3
2 1407 5
2 1945 2
1 4327 2
1 6838 2
2 5002 1
1 6718 3
2 4312 5
1 2850 2
2 6721 5
1 5195 4
1 7586 3
2 8349 6
1 9033 3
1 1889 6
1 7015 5
1 1275 2
1 4767 3
1 535 4
1 1318 4
2 1398 1
2 4717 4
1 5706 1
1 2893 4
1 9346 6
2 5512 6
1 9693 1
1 6901 4
1 6492 4
1 9608 2
2 6749 5
1 9846 4
2 3418 2
1 6681 6
1 4756 5
2 2057 4
1 8664 6
2 2472 3
2 9641 1
1 682 4
2 2045 6
1 314 3
1 5634 1
1 3550 2
1 5112 5
1 6809 4
1 3113 4
2 7693 4
1 6486 4
1 7371 1
2 1296 1
2 1839 6
2 471 5
2 5137 1
1 2585 4
2 3858 3
2 7047 4
2 3880 3
1 58 5
1 5447 1
2 1167 1
1 8037 1
2 6504 4
2 3074 6
1 4331 1
1 9982 3
2 1206 3
2 5625 4
1 9139 6
2 4845 1
2 7091 6
2 1944 5
2 1121 2
2 2332 4
2 2512 5
1 6062 1
1 6735 6
1 3798 6
2 2900 1
2 1719 5
1 6689 2
2 2243 1
2 2358 6
1 6670 3
2 8992 5
2 2128 2
2 9055 6
1 702 3
2 2586 1
1 1812 2
1 588 4
2 8682 2
1 5113 3
1 9186 1
1 4791 5
1 4847 4
1 9413 1
2 9870 5
2 5833 2
1 8806 6
2 748 4
1 8 4
1 4890 5
1 4625 1
2 6100 5
1 1513 2
2 7126 2
1 5317 4
1 1304 4
2 5403 2
1 7044 2
2 8782 4
1 7317 2
2 2860 1
1 4603 3
2 3611 2
2 693 3
1 7572 1
2 331 4
2 486 4
2 4496 6
1 340 1
1 2166 4
2 8921 6
1 1719 5
2 598 1
1 5691 6
2 1552 6
2 1002 6
2 3166 1
2 1934 6
2 2131 6
1 1489 5
1 6120 1
1 5522 3
1 4734 1
1 1052 5
1 2998 6
1 7716 1
2 7500 1
2 4115 6
2 3371 2
1 3903 1
2 4219 5
2 713 3
1 1392 5
1 6249 4
2 3461 3
2 9140 4
1 47 4
2 6263 6
2 9324 3
2 7615 1
1 4953 1
1 7681 1
1 8925 2
1 6996 4
2 4191 3
1 9743 2
2 2407 5
1 4554 3
1 5927 2
1 825 3
1 2649 4
2 6313 1
1 964 4
1 7999 1
2 3860 4
2 8933 5
2 4856 1
1 1243 5
2 6097 4
2 581 3
1 7319 3
1 5007 3
1 7429 6
2 3189 5
2 1924 3
1 4777 5
2 8557 3
1 770 5
2 1095 5
2 2951 5
2 4137 4
2 1660 1
2 5583 5
2 5335 5
2 3510 5
1 8767 4
2 6466 3
2 3051 3
1 5586 5
2 4692 1
1 5648 4
2 6006 1
1 9773 2
2 1412 5
2 2295 6
1 2973 2
1 1520 1
2 4557 5
2 8652 6
2 8323 2
2 7497 1
2 3672 1
1 6825 6
1 2691 6
1 831 5
2 8921 1
2 6073 4
1 4704 2
1 761 3
1 4534 6
2 732 1
2 8022 5
2 1772 3
2 8559 3
1 8694 6
1 9469 1
1 9474 1
2 4594 6
1 9868 5
1 6967 5
1 1249 3
1 9312 5
2 6808 1
2 955 6
1 5455 2
1 5780 2
2 2717 6
1 5707 4
1 1892 6
2 403 2
2 2069 1
1 6445 4
2 9681 3
1 4433 4
2 5753 5
2 5309 1
1 390 4
1 7914 1
1 1708 4
1 9760 5
2 681 2
2 8691 2
2 4067 5
2 5649 5
2 4112 2
1 2191 1
1 2456 3
1 6633 2
2 6949 3
2 3488 3
1 4392 6
1 1110 5
1 2049 1
2 5650 4
1 4390 2
2 3917 2
1 371 3
1 6224 4
2 9667 1
1 454 2
1 9327 3
2 2598 1
2 6407 5
1 3625 2
1 2020 4
2 5643 2
2 6679 3
2 753 3
2 9113 5
1 4979 3
2 5556 5
1 8115 4
1 5917 4
2 1019 4
2 8554 2
1 4574 4
2 1161 1
2 7719 5
1 3029 3
2 4155 2
1 2860 5
1 9673 1
2 211 3
2 3914 5
2 7821 2
1 8525 2
2 6463 2
1 8512 6
2 6218 2
2 673 1
2 2796 3
1 1857 6
1 242 5
2 2818 3
1 3156 2
2 2138 3
1 6849 6
1 4667 5
2 8394 4
1 7093 1
1 3005 3
1 4474 1
1 170 3
2 1891 3
1 3788 5
1 1131 5
1 7045 2
1 1645 2
2 6447 4
2 5570 2
1 9374 3
1 1184 6
2 4445 2
1 5981 6
1 8083 4
1 2749 6
2 1450 1
1 1042 5
1 329 2
1 950 2
1 7193 2
1 2369 1
2 3565 1
1 2871 4
2 214 6
1 4627 3
1 1990 4
2 5766 6
2 6852 3
2 786 4
2 4973 2
1 5879 2
1 7934 1
1 7340 4
2 4786 2
1 6472 5
2 2036 6
2 862 1
1 8618 3
2 5990 1
2 3074 5
1 232 5
2 3146 6
1 3706 1
2 2972 5
2 7465 5
2 4742 3
1 2235 3
1 9963 4
1 4134 3
2 4163 6
2 368 3
1 9482 4
1 6418 4
1 6885 6
2 6440 3
2 9967 5
2 9014 1
2 8988 6
1 6189 3
1 8056 1
2 1868 1
1 5872 2
2 256 2
2 5825 2
2 2913 5
2 5015 6
1 1825 2
2 2273 4
2 2221 2
1 899 2
1 1159 4
1 3891 4
1 8043 3
2 7282 1
1 1053 4
1 5173 6
2 9002 1
2 3149 2
2 4582 5
2 4723 2
1 7168 6
2 59 5
1 8315 2
2 4861 6
2 3535 3
1 2868 4
2 2432 4
1 4268 5
1 3277 1
2 5966 5
1 4043 4
2 4859 4
1 4682 3
1 520 1
1 6464 2
2 9533 6
1 1243 2
1 841 5
1 3560 1
1 6106 3
1 8581 2
1 3147 1
2 7198 4
2 3800 4
2 2695 6
2 1664 1
1 3350 2
2 2324 4
2 8351 2
1 4595 5
1 5154 3
2 8629 3
1 5065 1
1 2008 1
1 4604 3
2 9422 6
2 9555 6
2 869 3
1 3760 5
2 285 4
2 3496 1
2 9118 1
2 6709 3
2 3789 4
1 4635 2
1 1549 3
2 7526 6
1 2190 1
1 6870 1
1 5482 5
1 5495 6
2 2058 2
2 3616 2
1 5120 2
1 5222 1
2 7408 5
2 4112 3
1 5598 2
1 140 5
1 1949 6
1 9703 2
1 2284 3
1 429 5
1 8200 3
1 7961 4
2 6672 6
2 2836 2
2 7681 1
1 1673 5
2 6495 1
1 5596 3
1 3868 6
2 2100 4
1 4841 2
2 5182 1
2 3905 2
2 7313 4
1 3701 4
2 5608 6
2 9590 3
1 9667 4
1 8249 4
1 4918 1
1 8218 5
1 7203 6
1 6100 3
2 2900 3
1 6386 2
2 1477 6
1 6494 5
2 6907 5
1 6346 5
1 1495 6
1 9972 2
1 7379 5
2 7770 6
1 7964 5
1 1070 3
2 6746 4
2 8021 6
2 7369 6
2 8005 6
2 5054 4
1 872 3
2 2067 4
2 2111 3
1 8558 2
1 5704 2
2 3775 2
1 9205 4
1 9000 3
2 9847 4
2 5518 2
1 3889 4
2 5125 2
1 6242 3
1 5680 4
2 9742 3
1 9964 5
2 1719 1
2 9513 1
1 9570 2
2 6422 3
2 7403 6
2 3078 3
1 2857 4
2 5704 3
1 9155 1
1 2657 5
1 5532 1
2 1862 4
1 6867 3
2 641 2
1 4666 5
2 4524 5
2 6147 6
1 7851 4
2 99 5
1 2397 2
2 2283 2
1 8641 1
1 8413 5
1 3112 6
2 1760 5
2 7021 3
1 7610 6
1 3416 5
2 5 1
2 580 1
2 9036 4
1 466 4
1 4133 2
2 945 3
1 6634 3
1 2767 2
2 4984 6
2 8008 5
1 3068 3
1 8316 5
2 3851 1
2 9418 3
1 6746 5
2 5306 5
2 9260 5
1 9286 5
2 5253 3
1 8040 4
1 8623 4
2 9826 4
1 260 5
1 7032 3
1 8979 1
2 4794 6
2 2198 5
1 5918 3
1 5502 2
1 8777 2
2 2519 1
2 7258 4
2 3187 1
1 8813 4
1 2509 4
2 4243 4
2 2777 5
1 6765 4
1 8267 4
2 8699 5
1 3212 2
1 4915 3
1 9573 4
2 2284 5
2 4633 3
1 2349 1
2 8325 5
2 5400 5
1 219 2
2 1164 5
2 9265 3
2 791 2
2 7127 3
1 5391 3
2 2379 6
2 6814 3
2 5980 6
1 8551 6
2 5699 2
1 2465 4
1 9514 2
1 7441 4
2 939 2
2 943 6
1 7913 5
2 418 5
1 4050 5
1 3789 3
2 3709 1
1 3062 3
1 9989 5
1 5705 4
2 1647 4
1 31 5
1 7390 5
2 8633 1
1 7613 2
2 5383 1
2 4783 6
1 9044 1
1 2083 3
2 9141 3
2 4205 3
2 2925 1
2 2718 4
1 3995 6
2 8757 4
1 8015 4
2 8793 5
1 122 5
1 4387 5
2 61 5
1 7067 6
1 2331 4
2 2813 3
2 1444 3
2 2890 5
2 6560 1
2 1649 5
2 7670 4
1 7731 2
1 8281 6
1 7157 3
2 4782 4
2 6758 1
1 1366 4
1 328 6
2 6318 5
1 999 4
2 3034 3
1 9998 2
1 407 3
1 9061 5
1 5517 1
1 1776 5
1 5159 3
2 9663 1
2 321 6
2 2854 1
2 4144 4
1 4373 6
2 7059 3
1 6351 5
1 1636 6
2 8980 2
2 2648 4
2 7284 5
2 9052 4
1 7987 1
1 4426 1
1 5417 5
2 4474 6
2 642 5
2 9153 5
1 9112 2
2 4504 1
2 3703 2
2 2429 4
1 3625 4
2 3908 4
1 2091 6
1 7913 4
1 7350 5
1 8261 2
1 7831 3
2 1673 4
1 9502 4
2 6861 6
1 5765 2
2 1715 5
2 1046 5
1 8335 4
2 7257 4
1 5549 5
2 4474 2
1 1570 3
1 5287 2
1 9816 6
1 8465 4
1 1384 4
2 1556 1
1 1966 6
1 9074 3
2 5882 2
2 3333 5
1 6998 6
2 8785 5
2 720 3
2 3507 1
2 1185 5
2 550 2
2 6857 6
1 4708 4
2 6292 1
1 7291 2
1 3309 2
1 1340 1
2 4266 1
2 6507 1
1 2147 3
2 6668 6
1 2742 3
2 7632 4
2 1834 5
2 6081 6
1 5850 3
2 8488 1
2 6576 2
2 6290 4
2 626 6
2 2840 4
1 2887 6
1 6395 5
1 20 6
1 5579 3
1 665 1
1 423 1
1 4489 3
2 4734 6
1 9126 3
2 7495 5
2 5345 3
1 8378 6
1 541 6
1 8406 4
2 569 3
1 9116 6
2 6613 3
1 9377 2
1 5684 6
2 8000 6
1 5258 4
1 3740 5
2 6991 5
2 1642 6
1 5487 1
1 8364 6
2 4886 1
2 4786 3
2 6321 5
2 8625 6
2 2610 5
2 8040 5
1 5878 4
2 5044 1
2 7375 5
1 5301 3
1 9660 6
1 179 2
2 2208 3
2 4976 6
2 9897 3
2 2687 6
2 4497 5
1 5184 2
2 1061 6
2 6813 1
1 9658 4
1 5775 5
2 7466 4
1 6865 1
2 483 6
1 739 3
1 7762 6
1 7278 5
1 1267 5
2 7321 3
1 5543 1
1 9016 5
2 2296 4
1 7591 5
1 1413 2
1 5095 5
2 4328 2
1 8109 2
2 4484 4
1 629 2
1 1818 4
1 1486 2
2 3572 1
2 4233 1
1 4358 2
1 659 6
1 6572 1
1 4936 4
2 8406 2
1 6900 2
2 1343 6
2 6404 6
2 9519 5
1 293 5
2 1564 3
1 4651 3
1 2317 5
1 1940 5
2 2786 1
2 1108 4
2 6631 2
1 5458 5
1 2562 1
2 4941 6
2 9171 5
2 9105 2
2 1337 3
2 844 3
1 8187 4
2 4729 3
1 3721 2
1 7246 4
2 6480 1
2 8590 4
1 7693 2
2 4755 1
1 4750 3
2 7354 1
2 7221 4
1 8041 1
1 5152 2
1 5774 4
1 6482 6
1 9166 1
1 5604 1
2 5073 2
2 4256 1
2 2776 3
2 1889 4
1 3733 4
2 4155 4
1 2353 4
1 1868 4
2 9168 6
2 7491 2
1 9584 6
1 1186 2
2 5614 3
2 9652 3
1 5816 1
1 791 2
1 222 5
2 5516 6
2 566 3
2 1001 1
2 6683 6
2 1743 4
2 5518 1
2 4248 5
1 9609 2
2 6948 2
2 5670 2
2 5430 5
1 8434 5
1 877 5
2 7543 5
2 6725 3
2 1010 6
1 5206 2
2 575 6
2 9846 3
1 7776 4
2 4444 4
2 2501 1
1 3576 5
1 1109 6
2 9042 6
1 9437 2
2 1499 5
2 9498 2
1 6216 3
2 5105 1
2 3463 6
2 9358 3
2 4672 4
2 7541 3
1 7156 5
1 7882 4
2 6665 4
2 8970 1
2 2174 2
2 8614 4
2 7244 1
1 7126 5
1 5009 2
1 7097 5
2 6885 4
2 6929 3
1 5228 1
2 5167 3
1 9555 6
2 3504 5
2 2193 4
2 5078 3
2 309 2
1 2265 5
2 155 1
1 6973 6
1 4691 1
1 5055 1
1 1307 5
1 2704 2
1 6567 2
1 3510 3
1 32 2
2 3042 3
2 3935 6
1 5793 5
2 7736 1
1 6030 4
2 5086 2
2 1671 5
1 5603 3
2 6591 3
2 5748 1
1 2864 5
1 4120 1
1 1195 2
1 1554 4
2 4540 5
1 5581 5
1 247 5
2 5271 6
2 5589 1
1 474 3
2 8265 6
2 938 1
1 8509 4
1 1937 5
2 5362 4
2 8548 4
2 7962 2
2 4472 2
2 91 6
2 1754 2
1 9928 3
1 5784 1
2 5252 1
1 6087 2
2 1525 2
2 8631 4
2 5917 4
1 5898 1
1 1173 4
2 2526 5
2 9349 4
2 1044 5
1 6346 3
2 2161 4
2 4769 3
1 8888 3
2 7649 6
2 3386 4
1 7862 3
2 1493 4
1 6837 1
1 4088 5
2 8165 4
2 4676 2
1 318 3
2 3356 1
2 9955 5
1 6182 5
2 6363 4
1 2291 3
2 9628 2
1 2602 5
1 3671 6
1 8781 1
1 6380 5
1 3405 1
1 8006 3
2 6395 5
2 2797 2
2 2803 6
2 8779 3
2 7644 5
2 1476 3
2 3976 4
2 6179 5
2 8961 2
2 9690 4
1 818 1
1 9358 3
1 7420 2
2 6451 1
2 491 1
1 8939 5
2 9079 5
1 372 6
2 17 5
2 1415 2
2 6734 2
1 1968 2
1 4147 5
1 8352 6
1 4804 3
2 3403 2
2 8284 5
1 7069 6
2 4426 1
1 9816 3
2 927 3
1 9310 2
2 3998 3
1 2178 4
2 1025 3
1 3805 5
1 3736 4
1 7384 6
1 352 1
2 5130 6
1 3717 5
1 3573 6
2 105 5
2 9319 3
1 8725 1
1 7736 1
1 7419 3
1 1379 2
1 4229 4
2 6905 6
1 2771 4
2 188 5
2 9941 2
1 7953 6
1 9403 6
2 9776 4
1 1883 5
2 9819 6
2 4851 1
1 9117 5
1 334 3
2 5370 5
2 7077 4
2 7484 3
2 9830 3
2 9745 3
1 316 4
1 7708 2
1 9208 5
2 9189 6
1 625 3
2 962 5
2 9061 5
2 6719 3
2 9129 1
2 9389 6
2 2063 5
1 9595 5
2 7285 6
2 1111 5
2 9938 2
2 399 3
2 9615 4
2 8444 3
1 594 4
2 8447 5
2 3426 4
2 9408 3
2 3342 1
2 3739 4
1 7623 6
2 745 6
1 6145 2
1 585 3
1 1910 2
2 2647 6
1 4610 6
1 4882 4
2 2459 1
1 690 4
2 9894 3
1 4010 3
2 1620 3
1 4555 5
2 5319 2
1 9732 1
1 233 6
2 9095 5
2 436 2
2 3117 1
1 7708 3
2 6845 6
1 9875 1
1 2953 4
2 975 3
1 9333 1
1 8430 3
2 9202 5
1 4840 4
1 2850 5
1 689 4
1 3839 6
2 6045 3
2 1861 4
1 5820 6
2 3553 1
1 6409 1
1 6313 6
1 2460 3
1 9787 6
2 4858 3
2 7213 5
1 1876 2
1 6669 3
1 8798 1
2 3286 2
2 9762 1
1 5799 2
1 2289 2
1 478 4
1 5056 6
1 7849 2
1 371 4
1 380 2
1 6133 3
2 7657 6
2 3581 6
1 1091 1
1 9783 5
2 5737 4
1 6133 2
2 6449 2
1 726 3
2 2609 6
2 5784 1
1 8260 4
2 1943 5
1 3841 6
2 4940 4
1 1621 4
1 855 1
1 9589 4
1 3741 1
2 485 2
1 971 3
1 2230 6
2 5506 6
2 7181 3
2 1887 3
2 9874 6
1 6705 3
2 5343 1
1 8000 6
1 7514 2
2 6349 3
2 4023 5
1 8153 6
1 2046 6
2 4944 4
2 1311 2
1 2725 3
2 4128 2
1 9945 6
1 4040 5
1 6532 4
1 4049 1
1 6527 4
1 2297 5
2 6973 1
2 8195 1
2 5503 3
2 6909 5
2 3825 6
2 6164 2
2 2276 4
2 6480 5
2 1405 1
1 4656 4
1 7523 2
1 5898 2
2 547 6
2 7881 1
2 9709 6
1 5330 5
1 4778 2
1 2776 2
2 9394 2
2 790 2
2 196 5
1 8965 6
2 6638 4
2 2107 4
1 9689 6
2 2340 6
1 9827 5
2 202 3
2 4342 1
1 9985 6
1 5568 5
2 1369 1
2 1513 1
1 8300 3
2 3345 4
2 3273 3
2 7444 5
2 3877 4
2 6375 5
1 2747 3
1 7211 5
2 9079 3
1 1477 2
2 5389 5
2 5894 1
1 5011 5
1 2401 1
2 692 5
2 8995 2
1 6109 3
1 1466 6
1 3979 6
2 954 5
2 3886 6
1 1197 4
2 8994 6
1 2722 1
2 5083 2
2 4734 3
2 4759 1
1 9569 1
2 1453 6
1 8254 5
1 9498 5
2 2560 3
2 9829 6
1 1566 3
1 6981 1
2 3821 6
2 7120 5
1 4025 1
1 8902 5
2 1600 5
1 6393 6
2 4307 4
1 4165 6
2 1225 5
1 3106 5
2 8645 6
1 95 4
1 3092 6
2 5017 5
1 3507 3
1 8193 4
2 7536 1
1 6963 3
1 658 4
2 5930 3
2 7500 2
1 3028 3
2 8862 3
1 6653 6
2 6014 1
1 4510 5
2 4877 2
2 6474 4
2 6420 1
1 5524 5
1 1154 6
2 1983 1
2 4479 4
2 2570 4
2 9444 6
2 7364 6
1 9100 5
1 7842 4
2 111 4
2 6024 2
2 9461 4
2 6822 5
2 7564 1
1 3101 5
2 4836 1
2 8344 2
2 6796 1
1 9042 6
1 3723 6
1 8516 2
2 497 4
2 5945 1
2 2955 6
1 3346 5
2 3528 6
2 1747 2
1 1413 5
2 6596 2
2 5696 1
1 2688 5
1 1358 2
1 5178 6
1 5131 6
1 7065 1
2 5409 3
1 773 1
1 9473 3
2 9753 2
2 2967 2
2 2901 6
2 7462 6
2 372 4
1 1377 4
2 967 6
2 2640 6
2 1110 1
1 7807 6
1 7980 3
2 3413 6
2 4242 6
2 8013 4
2 7313 2
1 640 5
1 6693 3
2 3832 4
2 4180 4
2 6231 5
2 2834 4
2 5985 3
1 2517 1
2 1993 4
1 7380 6
2 7795 2
2 7030 1
1 6262 3
2 1482 6
2 3542 1
1 1897 4
2 1512 4
2 6473 6
2 2681 4
1 3518 1
1 9649 4
1 9922 4
2 5920 1
2 1568 2
1 2824 2
2 4851 2
1 7426 2
1 7977 2
1 1332 6
1 4494 6
2 5798 4
2 6579 3
1 9784 1
1 2800 6
1 47 3
1 1400 6
2 9775 4
1 7574 6
1 8214 5
2 907 1
2 3726 3
1 6658 5
2 2167 1
1 1341 1
2 6745 3
1 8533 2
2 5224 2
2 9646 2
1 8942 6
